URL	Motif_ID
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42988_0.6	M092_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42988_0.6	M093_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42989_0.6	M131_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42989_0.6	M337_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42989_0.6	M338_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43009_0.6	M095_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43009_0.6	M096_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44429_0.6	M120_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44426_0.6	M130_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43037_0.6	M132_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44425_0.6	M056_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44425_0.6	M335_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44425_0.6	M336_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43040_0.6	M121_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43004_0.6	M124_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43050_0.6	M057_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43014_0.6	M129_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43011_0.6	M058_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43002_0.6	M139_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43008_0.6	M059_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T44421_0.6	M288_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43087_0.6	M064_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43099_0.6	M066_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43099_0.6	M165_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43099_0.6	M166_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42990_0.6	M067_0.6
